Name,Plate_ID,Location ,Latitude,Longitude,Legacy_Age,Legacy_Age_2s,Legacy_Age_type_and_citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lichau Creek Tuff,10,Lichau Creek,8.312159,-122.667111,5.37,0.22,"Pl_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-1,11,Petaluma Formation,38.23655,-122.486967,6.71,0.08,"Pl_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-3,11,"Carriger Tuff, Petaluma Formation",38.293108,-122.52608,4.88,0.12,"Pl/An_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW-5C-B ,10,-,38.31322608,-122.8050962,9.199,0.08,"Groundmass_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPQ-E-20/21,10,-,38.31954153,-122.7349999,8.389,0.02,"Pl_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPQ-A-256,10,-,38.3184772,-122.7346149,8.592,0.102,"Groundmass_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COT-1A-KBC,10,-,38.29077363,-122.6941325,8.956,0.242,"Groundmass_Ar/Ar; Wagner et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolay18-1,10,Tolay Tuff,38.206434,-122.498258,9.829,0.0166,"San_Ar/Ar; Wagner et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneman-1P1,8,Stoneman Tuff,38.002104,-121.928607,11.17,0.24,"Pl_Ar/Ar; Wagner et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBH/CC-1,11,Cull Canyon Tuff,37.757259,-122.067753,11.524,0.13,"Pl_Ar/Ar; Wagner et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN-12/1,11,McGuire Peaks Tuff,37.54,-121.830333,13.49,0.34,"Pl_Ar/Ar; Wagner et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMB_,10,Page Mill Basalt,37.399157,-122.162447,14,2,"K-Ar, reported in Pampeyan, 1993 and Wakabayashi, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA_,13,Carmel,36.56,-121.94,27.1,1.6,"Whole rock K-Ar; Clark et al., 1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM1_,20,"York Mountain, SLO",35.49,-120.83,,,"Late Oligocene field relationships, Seiders, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR_IH_,20,Morro Rock/Cambria felsite,35.32,-120.73,26.5,0.5,"San_Ar/Ar; Cole and Stanley, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC_,12,Pine Creek,35.32,-120.22,26.5,0.5,"Pl_Ar/Ar; Vedder et al., 1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_,32,Wagon Road Canyon,34.71,-119.2,25.1,0.1,"San_Ar/Ar; Fleck and Stanley, unpublished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG1_,34,San Gabriel Mountains,34.26,-117.6,26.3,0.08,"Ar/Ar; Nourse et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM_,41,Mountain Meadows,34.1,-117.78,27.3,0.2,"Bio_Ar/Ar; Beyer et al., unpublished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB_,14,Iversen Basalt,38.86,-123.65,23.4,2.2,"Pl_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB_,16,Half moon bay,37.47,-122.38,field,,"Mack, Classen,Stanley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB_,16,Mindego,37.33,-122.25,20.2,2.4,"Pl_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB_,16,Vaqueros intrusives (?),37.27,-122.41,22,1.4,"Pl_K/Ar; Stanley, 1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
